Country_ISO,Slope,Intercept,R2,P_value,class
LUX,0.00020713335102747336,0.021508773890154938,0.3339410412317713,0.004851953276811557,bvmeat
LVA,-1.0282339034801692e-05,0.004726596626542082,0.008054303492540818,0.691237173283177,bvmeat
MAC,,,,,bvmeat
MAR,6.012962127608369e-05,0.0010769284214055942,0.952823461258165,9.835142518370003e-15,bvmeat
MDA,-0.0002582167044970939,0.009886077672606235,0.8336009836118257,3.112892681677387e-09,bvmeat
MDG,-4.217086850887636e-07,0.0001560647268645411,0.032985936924261494,0.418566979689203,bvmeat
MEX,6.114395301329508e-05,0.002105110634691356,0.9897600062959836,2.2440191747688956e-21,bvmeat
MHL,,,,,bvmeat
MKD,-2.7004068311814228e-05,0.002957508454034886,0.11841773698844203,0.11683914970558125,bvmeat
MLI,2.2836532138776403e-06,0.00016506558244332566,0.25295648450071134,0.01704026772414011,bvmeat
MLT,,,,,bvmeat
MMR,0.0019905161767176816,0.06539769843044005,0.06875321077110624,0.23846071575021272,bvmeat
MNE,0.00018549260540194648,0.0009148613493677226,0.5886662534573933,0.0005225563635661795,bvmeat
MNG,9.934254586418858e-06,7.810139850576565e-05,0.6717682726313415,3.0548639232683145e-06,bvmeat
MOZ,1.2934897122762532e-06,2.0383249522365956e-05,0.5858114310564444,3.319245798377563e-05,bvmeat
MRT,3.285668836293732e-06,0.00011924510962275215,0.9613174761379334,1.3456190882168079e-15,bvmeat
MTQ,-0.0002543544356055785,0.017434431208566824,0.394770131726203,0.13075836126577944,bvmeat
MUS,-0.000581628447528611,0.022722851030501045,0.2262571477736861,0.025253290682414026,bvmeat
MWI,0.00015758320671947648,0.0007533741730114973,0.9534900582001464,8.52786569753557e-15,bvmeat
MYS,0.0003862016959788639,0.007018589117013912,0.6071126019567966,1.9276472168248154e-05,bvmeat
NAM,-3.4146858802900945e-06,0.00016640588945839228,0.7475834550326029,2.1081353197945105e-07,bvmeat
NCL,8.691096511825297e-06,0.0016609304885740522,0.1256254918855602,0.10556331133484209,bvmeat
NER,4.35769384929345e-06,0.00028120927077157783,0.5474861615606397,8.279744005254192e-05,bvmeat
NGA,5.602071059994527e-06,0.0019434325089313436,0.10004155536421545,0.15155123430682804,bvmeat
NIC,0.00017515519975317274,0.002326292541790018,0.9550916322344449,6.002401516467234e-15,bvmeat
NIU,-1.5251371233679269e-06,0.0004294393887758542,0.0008383789808305705,0.8982211970967957,bvmeat
NLD,0.0007701456849893854,0.06822101392609926,0.4391098207571448,0.0007779809158645233,bvmeat
NOR,-0.0008802936538977021,0.03447206780955615,0.1338864560840368,0.09398871070396547,bvmeat
NPL,0.00034049723122792444,0.00983038873867049,0.9831735940434234,2.2068239242037143e-08,bvmeat
NZL,0.00028255997865390714,0.01065193482975653,0.9318882363305421,3.9093610172292156e-13,bvmeat
OMN,0.00012350442128619232,0.0012468279704130531,0.8718803361215717,2.2339308660704185e-10,bvmeat
