country_iso,country_name,scenario,pasture_area_Mha_2025,pasture_area_Mha_2075,ratio
GRC,Greece,no_gap_closure_milk_pasture_area_m2,0.917721416070735,0.7361227374413699,0.8021200383370284
GRD,Grenada,no_gap_closure_milk_pasture_area_m2,2.9940335127509563e-05,2.659466964598491e-05,0.8882555767236349
GTM,Guatemala,no_gap_closure_milk_pasture_area_m2,0.10756707074694717,0.18181175011893458,1.6902175438675737
GUY,Guyana,no_gap_closure_milk_pasture_area_m2,0.22837611901039945,0.24049011890477925,1.0530440746032126
HKG,"China, Hong Kong Special Administrative Region",no_gap_closure_milk_pasture_area_m2,0.0,0.0,
HND,Honduras,no_gap_closure_milk_pasture_area_m2,0.43876197420172786,1.0221797315434595,2.3296907928340573
HRV,Croatia,no_gap_closure_milk_pasture_area_m2,0.1390521772542555,0.102314173366073,0.7357969892049412
HTI,Haiti,no_gap_closure_milk_pasture_area_m2,0.013765463896796394,0.05497359371911337,3.9935881660993093
HUN,Hungary,no_gap_closure_milk_pasture_area_m2,0.4951541899131922,0.43974678857932514,0.8881007119346384
IDN,Indonesia,no_gap_closure_milk_pasture_area_m2,0.5587165258935154,0.8246705128371753,1.476008807003406
IND,India,no_gap_closure_milk_pasture_area_m2,10.97262405737964,27.168322942153722,2.4760096399987077
IRL,Ireland,no_gap_closure_milk_pasture_area_m2,1.0503295975609694,1.1217431836962755,1.067991596448524
IRN,Iran (Islamic Republic of),no_gap_closure_milk_pasture_area_m2,8.148251013843513,7.934437910383616,0.9737596322086005
IRQ,Iraq,no_gap_closure_milk_pasture_area_m2,0.3740926548809433,1.7101512788315671,4.57146446613829
ISL,Iceland,no_gap_closure_milk_pasture_area_m2,0.5357478220670904,0.5682334954014391,1.060636127663587
ISR,Israel,no_gap_closure_milk_pasture_area_m2,0.031497179105838755,0.050351918495705056,1.5986167626792689
ITA,Italy,no_gap_closure_milk_pasture_area_m2,1.7174414606691106,1.3004822716190716,0.7572207271113667
JAM,Jamaica,no_gap_closure_milk_pasture_area_m2,0.008863678980175621,0.00515797338435747,0.5819224044433152
JOR,Jordan,no_gap_closure_milk_pasture_area_m2,0.10175909110672064,0.22008158586497123,2.162770750715127
KAZ,Kazakhstan,no_gap_closure_milk_pasture_area_m2,25.112250997001386,37.955570452919055,1.5114364083670264
KEN,Kenya,no_gap_closure_milk_pasture_area_m2,7.350894317314217,34.35542172129765,4.673638368106757
KGZ,Kyrgyzstan,no_gap_closure_milk_pasture_area_m2,2.0466204961938548,4.3656756266557695,2.1331143877307555
KHM,Cambodia,no_gap_closure_milk_pasture_area_m2,0.01773291088736409,0.11983512176703458,6.757780633320911
KIR,Kiribati,no_gap_closure_milk_pasture_area_m2,0.0,0.0,
KOR,Republic of Korea,no_gap_closure_milk_pasture_area_m2,0.01977278092680689,0.013286441613160116,0.671956143262937
KWT,Kuwait,no_gap_closure_milk_pasture_area_m2,0.006945513720212131,0.011100781757225642,1.5982664788237724
LAO,Lao People's Democratic Republic,no_gap_closure_milk_pasture_area_m2,0.002377585369139788,0.007235358200037657,3.043153904776683
LBN,Lebanon,no_gap_closure_milk_pasture_area_m2,0.058670845252132404,0.10162972694644544,1.7322015135405209
LBR,Liberia,no_gap_closure_milk_pasture_area_m2,0.11663619919171772,0.7135355805526308,6.1176168762133205
LBY,Libya,no_gap_closure_milk_pasture_area_m2,1.9733828897646928,2.8323115661760068,1.4352569797104773
LCA,Saint Lucia,no_gap_closure_milk_pasture_area_m2,2.533533377950082e-05,1.756977735117501e-05,0.6934890814578873
