Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ESP,0.014341041366835339,0.01324197579555385,0.013602110465069973,0.014291941530054647,0.014443061490312149,0.014134489863308577,0.01365712578990765,0.013387827000572738,0.013406201467207574,0.012357550461442468,0.013057165506379234,0.01340831549229799,0.013916278402230035,0.01343596695422109,0.01379933794268362,0.014556561454254172,0.015063319181743615,0.014904902118222286,0.015482627364730201,0.015805841851327027,0.01569569016581056,0.016033311383876783
EST,,,,,,,0.01163617419920426,,0.012302970940170938,,,,,,,0.012575277691197692,0.012847065698478561,0.012274857016416845,,0.011490307895480226,,
ETH,,,0.0037465919257562747,0.0036927227813702487,0.0037411242474253174,,,0.0040854006233163025,0.004358076154133932,,0.0048085833783223534,,,,,0.004423415143995653,,,,,,
FIN,1.0302355751282053,0.03899833879051766,0.04065097171929825,0.04198301261288686,0.04174557598765432,0.03962410282797344,0.03914625365607666,0.03757772833333333,0.03565730751937984,0.0365827737586548,0.03591949869942195,0.03547109947544111,0.03524796214836223,0.03609533368627451,0.03678705637956205,0.0361662377979094,0.0363507439589169,0.034694802596585805,0.03288830011012282,0.031954320814814814,0.03227142381901204,0.03092603325193325
FRA,0.03690950608044115,0.029019773422966154,0.030394679680277106,0.030046746940065643,0.02938128515303351,0.029355625923084397,0.028324822533696295,0.02847713195434584,0.028738917757218777,0.028633699004140263,0.029003116257652253,0.02982669643063281,0.028956390969539322,0.02797866029276649,0.02875651920400662,0.029977210440281916,0.030053455991189377,0.029633432414327397,,,,
GBR,0.020271716724054603,0.016308659250160562,0.017466720741579088,0.017443543313786915,0.01764206749161906,0.018423071692664137,0.018829455696998027,0.019358545840424415,0.018884908970304263,0.018854215926994815,0.01978242964362272,0.020358954384002162,0.019545884261867926,0.019104597627389912,0.019973495031418022,0.020392469980672383,0.020170231370153488,0.02023254330023388,0.020499750281652847,0.020401686410583507,0.020834752187470208,0.020528880424297367
GEO,0.006151066408668731,0.006199295945017182,0.006496945776632302,0.006636822013745705,0.006351336405498281,0.00636412103436426,0.0047357426151202735,0.004640894951890034,0.004141296378006874,0.004084301738831615,0.004002688704467353,0.0034782120618556704,0.002980710608247422,0.003375368054696626,0.0036113366427104714,0.0037301918836114673,0.003408628555772457,0.0034799022882197788,0.0037979743096951016,0.0035815766312074964,0.0033772365520667374,0.003434302605478185
GHA,,,,,,,,,,,,,,,,,,0.0017622362811383575,,,,
GLP,0.02415713888888889,0.02468233766233766,0.022507450980392158,0.023413744075829385,0.022500979462875197,0.022314565560821484,0.023239469320066333,,,,,,,,,,,,,,,
GRC,,,0.007771108163961159,,,,,,0.008634493479687106,0.008892845873343658,,,,,,,0.007632686574138331,,,,,
GTM,0.004807486860371265,0.004993966726604004,0.0052011755546357615,0.005336131597484276,0.005419588929481734,0.005534575384173488,0.0067694512796916476,0.007196849029709772,0.007797486342059338,0.009655866751818343,0.01094805821692835,0.01221931416167121,0.013916162241726093,0.014824774235229151,0.019256527244616232,0.019842286305908338,0.019978512110246007,0.02026794128280519,0.01976255756101078,0.02017047033616153,0.020426723050666666,0.022741807825777775
