Item_Code,Country_ISO,fp_m2_kg,fp_kg_m2,fp_m2,fp_kg
867.0,PRY,307.88752197841643,0.0032479393564709066,160956210268.66385,522776010.0
867.0,PER,676.5077327495713,0.0014781797037790529,128484310476.22359,189922900.00000003
867.0,PHL,75.25696754335203,0.013287806201119473,8884290470.014101,118052730.0
867.0,POL,31.003908595083693,0.03225399781234584,17213990440.201454,555220010.0
867.0,PRT,130.44874924765827,0.007665845826558979,13436225085.971277,103000029.99999999
867.0,GNB,239.05479035327636,0.004183141440178609,1797957374.2739303,7521110.0
867.0,TLS,664.9036964429787,0.0015039772005324666,813948509.0376368,1224160.0
867.0,PRI,104.60284523222579,0.009559969404081969,482081040.7648544,4608680.0
867.0,ERI,1968.3070042258119,0.0005080508263462319,47396261852.726326,24079710.0
867.0,QAT,66.59761612714233,0.01501555248,96585190.71687199,1450280.0000000002
867.0,ZWE,181.14162737357543,0.005520542210530444,126799139161.50279,700000000.0
867.0,ROU,209.31286589472174,0.0047775371844699255,17314360266.811382,82720000.0
867.0,RWA,72.92667641582993,0.013712403322728878,2851619010.88381,39102549.99999999
867.0,RUS,497.4610929461814,0.002010207459798643,832523997382.6554,1673545950.0
867.0,KNA,168.61510791366905,0.0059306666666666666,7365107.913669065,43680.0
867.0,LCA,12.309603517506462,0.08123738498789346,5073649.2818106385,412170.0
867.0,VCT,103.09923100026465,0.009699393393122719,15361785.419039434,149000.0
867.0,STP,40.80418848452841,0.02450728802949155,13448244.440730873,329580.0
867.0,SAU,6920.752332993961,0.00014449296144186592,276829678074.61847,39999940.0
867.0,SEN,414.37724190130706,0.0024132599449999998,36361607120.61212,87750010.00000001
867.0,SYC,0.0,inf,0.0,30000.0
867.0,SLE,1300.6990545616604,0.0007688173497881131,14641995271.181702,11257020.0
867.0,SVN,70.81949436576161,0.014120405814185817,2658558152.9311423,37539920.00000001
867.0,SVK,149.7886389477685,0.006676073746478873,1786966479.5557623,11929920.0
867.0,SGP,12.400873927820035,0.0806394779771615,452135.8634083185,36460.0
867.0,SOM,3396.31322175391,0.00029443691871375283,184183356614.73883,54230380.00000001
867.0,ZAF,664.2737787912844,0.0015054033922874458,699586572871.8291,1053160000.0
867.0,ESP,103.95024625684492,0.00961998683032607,74623800703.8589,717879980.0
867.0,SUR,117.42932627470651,0.00851576034474272,213838803.14624056,1821000.0
867.0,TJK,81.33973302223649,0.012294114608497941,21961727916.003853,270000000.0
867.0,SWZ,552.6048208265051,0.001809611429926266,8320283432.677859,15056480.000000002
867.0,SWE,69.2144052450083,0.014447859465961667,9507982156.36274,137369990.00000003
867.0,CHE,47.05128988471817,0.02125340245613098,6778014969.478176,144055880.00000003
867.0,SYR,371.1969640230265,0.0026939875508733063,23401778519.564087,63044100.0
867.0,TKM,1154.5987220839315,0.0008661017727397993,200134286126.29694,173336660.0
867.0,TWN,37.048742039756085,0.026991469748876354,281422244.5339872,7596000.0
867.0,TZA,378.42882196114465,0.0026425048568385085,192376168650.9048,508354959.99999994
867.0,THA,170.40663164325744,0.00586831621725543,23329620445.03283,136905590.0
867.0,TGO,968.6299456990807,0.0010323860050375365,6661994609.031853,6877750.0
867.0,TON,137.39980911286145,0.0072780304896827835,48338626.84399579,351810.0
867.0,TTO,74.61057552757796,0.013402925696912425,86657199.0522607,1161460.0
867.0,OMN,269.02857166310656,0.003717077311967663,4094647144.141082,15220120.0
867.0,TUN,357.3342823538071,0.002798500030315789,17830980689.454975,49900000.0
867.0,TUR,61.094797401767295,0.0163680058291031,89242348472.4554,1460719280.0
867.0,ARE,49.940657181759484,0.020023765333333336,992649467.7258167,19876579.999999996
867.0,UGA,182.5384030393734,0.005478299269355943,41618748591.44102,227999960.0
867.0,GBR,81.18643745881292,0.012317328254578418,73571152872.63376,906200040.0
867.0,UKR,148.71237190361816,0.006724390090745839,46175172143.465096,310499870.0
867.0,USA,173.8665249279677,0.0057515384310711706,2213955995009.9253,12733652989.999998
867.0,BFA,403.321106148621,0.002479414007238954,50916063082.414215,126242000.0
867.0,URY,189.70013367512487,0.005271477571610846,108607503725.95251,572522020.0
867.0,UZB,146.82488519899204,0.006810834543781172,149968196031.51663,1021408570.0
867.0,VEN,397.3793080010592,0.002516487345630323,148235380816.7328,373032460.0
867.0,VNM,17.719955241810673,0.056433551120968706,4702874880.779686,265399930.0
867.0,ETH,323.1400958377999,0.00309463298699382,133901018874.14137,414374510.0
867.0,WSM,43.13375955140244,0.023183696723868955,62107006.365277834,1439870.0
867.0,YEM,1228.590477327678,0.000813940868380416,102404920600.50182,83351550.0
867.0,COD,5748.9333381705255,0.00017394531144767603,121394476368.80882,21116000.0
867.0,ZMB,976.5696244127239,0.0010239925295663034,181773533131.96002,186134740.0
867.0,BEL,15.317661793928318,0.06528411538609531,3785300888.8688016,247120020.0
867.0,LUX,35.488878310549396,0.0281778418367971,375825091.9760195,10589940.0
867.0,SRB,50.79636617818662,0.01968644757957958,3544825429.6720767,69785020.0
867.0,MNE,272.9174168237973,0.0036641120659793814,941698817.5763444,3450490.0
867.0,SDN,1308.9418534940376,0.000763975876644665,493373523330.9113,376925470.00000006
867.0,SSD,1058.8249650440946,0.0009444431638975902,138961109590.10657,131240870.0
867.0,,78.43251617636423,0.012749814091790563,1433740121.1026444,18279920.000000004
882.0,ARM,3.4651336058141973,0.2885891609841784,2241941269.7051053,646999950.0
882.0,AFG,36.68236181312655,0.027261058191791684,68989318271.08186,1880721820.0
882.0,ALB,2.5862508295885203,0.38666009830110054,2289245525.6934915,885159900.0
882.0,DZA,20.108574037591058,0.04973003049000867,48447405647.258835,2409290960.0
882.0,AGO,92.96153563845087,0.010757137273304452,20381129702.981987,219242610.00000003
882.0,ATG,9.661951898478263,0.10349875579048348,23258733.7076118,2407250.0
882.0,ARG,6.535469500646959,0.15301119527847357,77771466449.51505,11899905040.000002
882.0,AUS,36.05493572180927,0.02773545368977346,326910102910.7434,9067000020.0
882.0,AUT,1.165913497244852,0.8576965635641761,4465611864.041722,3830139950.0
882.0,BHS,8.03459163430104,0.12446183272474354,5607341.501578697,697900.0
882.0,BHR,0.06610218813280969,15.128092249999998,661017.9151968088,9999939.999999998
882.0,BRB,2.2822895883886836,0.43815649209792384,9907373.457403507,4340980.0
882.0,BGD,0.8015868255670121,1.2475254933146362,8646316253.899235,10786499950.0
882.0,BTN,43.117392958438266,0.0231924968414468,2356537994.750485,54654000.0
882.0,BOL,28.57113303954422,0.03500036203030304,16002588473.658443,560096390.0
