file,region,iso3,n,slope,intercept,r_squared,p_value,std_err,current_year,current_yield_kg_per_m2,class
pasture_fp_kg_m2_by_country_year_Horse_Meat,South-eastern Asia,THA,92,-0.19875328666170447,-2.294390572618657,0.027409403632670113,0.11475683504853068,0.12479819506211494,2021,0.0070712754850852,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,South-eastern Asia,VNM,92,-0.19875328666170447,-2.294390572618657,0.027409403632670113,0.11475683504853068,0.12479819506211494,2021,0.0940559185349478,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Asia,IND,19,-1.423638226619861,7.439134730492742,0.3897429176184619,0.00427587871679808,0.4320584252337406,2021,0.1018361887001283,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Asia,IRN,19,-1.423638226619861,7.439134730492742,0.3897429176184619,0.00427587871679808,0.4320584252337406,2021,0.0026192754613201,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Asia,NPL,19,-1.423638226619861,7.439134730492742,0.3897429176184619,0.00427587871679808,0.4320584252337406,2021,0.0268160010440805,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Asia,PAK,19,-1.423638226619861,7.439134730492742,0.3897429176184619,0.00427587871679808,0.4320584252337406,2021,0.1445556770666666,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,BIH,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0041331491717523,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,ESP,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0160333113838767,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,GRC,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0076326865741383,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,HRV,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0175969993800978,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,ITA,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0318090804641549,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,PRT,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0127764097109316,sgmeat
